Age (ka),LRO4 Depth (amcd),LRO4 d18O,LRO4 d18O Norm Detrend
0,,3.228,3.1184
1,,3.228,3.1174
2,,3.179,3.2611
3,,3.286,2.9445
4,,3.295,2.9170
5,,3.264,3.0075
6,,3.333,2.8030
7,,3.367,2.7018
8,,3.42,2.5445
9,,3.385,2.6468
10,,3.523,2.2387
11,,3.597,2.0194
12,,3.924,1.0536
13,,4.055,0.6662
14,,4.281,-0.0016
15,,4.502,-0.6546
16,,4.747,-1.3785
17,,4.881,-1.7748
18,,5.024,-2.1977
19,,4.956,-1.9979
20,,4.992,-2.1051
21,,4.9,-1.8345
22,,4.894,-1.8177
23,,4.859,-1.7154
24,,4.811,-1.5747
25,,4.794,-1.5254
26,,4.692,-1.2254
27,,4.749,-1.3945
28,,4.753,-1.4072
29,,4.731,-1.3432
30,,4.602,-0.9635
31,,4.641,-1.0795
32,,4.599,-0.9565
33,,4.579,-0.8984
34,,4.586,-0.9199
35,,4.539,-0.7822
36,,4.454,-0.5323
37,,4.456,-0.5391
38,,4.414,-0.4161
39,,4.555,-0.8331
40,,4.548,-0.8133
41,,4.514,-0.7139
42,,4.504,-0.6853
43,,4.463,-0.5653
44,,4.478,-0.6104
45,,4.329,-0.1717
46,,4.363,-0.2729
47,,4.381,-0.3270
48,,4.445,-0.5167
49,,4.462,-0.5678
50,,4.343,-0.2176
51,,4.334,-0.1920
52,,4.309,-0.1191
53,,4.436,-0.4948
54,,4.376,-0.3187
55,,4.307,-0.1160
56,,4.354,-0.2556
57,,4.427,-0.4719
58,,4.489,-0.6558
59,,4.427,-0.4737
60,,4.599,-0.9822
61,,4.513,-0.7293
62,,4.604,-0.9988
63,,4.531,-0.7843
64,,4.357,-0.2718
65,,4.481,-0.6386
66,,4.567,-0.8933
67,,4.439,-0.5165
68,,4.419,-0.4584
69,,4.468,-0.6039
70,,4.319,-0.1651
71,,4.225,0.1113
72,,4.215,0.1399
73,,4.229,0.0977
74,,4.028,0.6898
75,,3.953,0.9102
76,,4.064,0.5818
77,,4.077,0.5425
78,,4.055,0.6065
79,,4.051,0.6174
80,,3.901,1.0591
81,,3.824,1.2854
82,,3.802,1.3494
83,,3.828,1.2717
84,,3.823,1.2856
85,,3.953,0.9010
86,,4.059,0.5874
87,,4.18,0.2294
88,,4.107,0.4439
89,,4.077,0.5315
90,,4.061,0.5778
91,,4.008,0.7332
92,,4.005,0.7412
93,,3.904,1.0383
94,,3.806,1.3265
95,,3.802,1.3374
96,,3.752,1.4840
97,,3.832,1.2471
98,,3.9,1.0455
99,,3.781,1.3957
100,,3.807,1.3181
101,,3.915,0.9985
102,,3.856,1.1717
103,,3.876,1.1117
104,,3.921,0.9780
105,,3.849,1.1896
