Age (ka),Alkane Depth (amcd),Alkanes (ng/g)
0,0.17,80.71
6.91,0.25,50.18
8.51,0.35,46
11.39,0.53,82.42
12.99,0.63,53.41
13.63,0.67,162.31
14.27,0.71,90.02
15.55,0.79,159.59
16.19,0.83,158.03
16.83,0.87,105.75
17.47,0.91,249.96
18.75,0.99,205.33
19.71,1.05,239.01
20.67,1.11,260.39
21.95,1.19,244.62
22.91,1.25,234.07
23.87,1.31,324.33
24.19,1.33,310.26
24.51,1.35,333.29
25.47,1.41,323.83
26.11,1.45,158.71
26.75,1.49,448.16
28.35,1.59,275.69
29.95,1.69,343.16
31.55,1.79,458.04
32.19,1.83,273.6
32.83,1.87,451.25
33.15,1.89,167.45
33.79,1.93,301.77
34.43,1.97,402.3
35.39,2.03,267.19
36.67,2.11,262.76
38.27,2.21,216.58
38.59,2.23,127.2
38.91,2.25,163.26
40.19,2.33,195.38
41.79,2.43,193.28
43.71,2.55,84.29
45.63,2.67,185.29
45.95,2.69,155.57
46.27,2.71,189.08
46.59,2.73,125.59
46.91,2.75,106.14
47.23,2.77,100.4
47.55,2.79,60.58
47.87,2.81,106.74
48.51,2.85,74.94
49.47,2.91,132.8
51.06,3.01,106.46
52.34,3.09,106.21
53.94,3.19,211.17
55.22,3.27,154.2
56.58,3.35,180.07
56.92,3.37,171.89
57.26,3.39,228.9
57.61,3.41,184.21
58.29,3.45,97.09
58.63,3.47,133.04
58.97,3.49,262.77
59.31,3.51,210.47
59.65,3.53,215.77
59.99,3.55,234.48
60.34,3.57,242.58
60.68,3.59,246.76
61.02,3.61,238.01
61.36,3.63,241.56
61.7,3.65,249.32
62.04,3.67,206.73
62.72,3.71,189.86
64.09,3.79,146.01
65.8,3.89,151.87
67.63,3.99,166.85
69.77,4.09,140.22
70.62,4.13,129
72.75,4.23,47.77
74.46,4.31,45.39
74.88,4.33,58.33
75.31,4.35,52.34
76.59,4.41,37.6
77.44,4.45,49.61
77.44,4.45,48.02
77.87,4.47,58.95
78.3,4.49,33.19
78.75,4.51,58.03
79.28,4.53,61.38
79.81,4.55,44.94
81.41,4.61,106.39
83.81,4.7,37.11
87.01,4.82,27.98
89.94,4.93,34.88
93.14,5.05,25.93
96.08,5.16,120.86
99.28,5.28,40.02
102.48,5.4,37.56
105.14,5.5,36.05
105.68,5.52,55.55
106.21,5.54,118.77
106.74,5.56,88.94
107.28,5.58,75.23
107.81,5.6,107.82
108.34,5.62,59.29
108.88,5.64,100.42
109.41,5.66,107.2
109.67,5.67,103.78
110.21,5.69,117.89
110.74,5.71,163.78
111.27,5.73,115.13
111.81,5.75,100.83
112.34,5.77,114.67
112.87,5.79,60.45
113.67,5.82,54.34
114.21,5.84,88.47
114.74,5.86,38.56
115.27,5.88,53.48
115.81,5.9,164.6
116.34,5.92,91.85
116.87,5.94,60.6
117.41,5.96,42.3
117.94,5.98,51.64
118.47,6,48.33
119.01,6.02,46.94
120.07,6.06,34.75
123.54,6.19,50.26
126.21,6.29,50.67
128.87,6.39,65.25
130.47,6.45,210.52
132.34,6.52,218.65
135,6.62,132.83
137.51,6.72,106.97
139.86,6.83,139.42
141.99,6.93,185.67
142.42,6.95,305.35
144.13,7.03,173.58
146.26,7.13,142.41
148.6,7.24,170.47
150.74,7.34,148.92
152.87,7.44,144.57
155.22,7.55,208.35
157.35,7.65,223.2
159.48,7.75,140.79
161.83,7.86,130.22
163.54,7.94,162.23
165.24,8.02,87.13
166.95,8.1,89.49
168.87,8.19,154.38
170.57,8.27,158.99
172.28,8.35,155.79
174.2,8.44,225.28
174.63,8.46,185.86
175.13,8.48,212.46
175.93,8.51,202.88
176.46,8.53,183.58
177.26,8.56,173
177.8,8.58,189.06
178.6,8.61,147.49
179.13,8.63,189.85
179.93,8.66,176.72
180.46,8.68,157.69
181,8.7,399.02
181.53,8.72,250.29
182.06,8.74,164.96
182.6,8.76,148.66
183.13,8.78,321.98
183.66,8.8,236.16
184.73,8.84,245.97
185.26,8.86,273.1
185.8,8.88,223.65
186.33,8.9,253.14
186.86,8.92,187.11
187.13,8.93,197.92
187.66,8.95,324.75
188.2,8.97,171.43
188.73,8.99,396.76
189.26,9.01,156.49
190.97,9.07,79.42
193.81,9.17,146.74
196.37,9.26,64.28
199.21,9.36,38.4
202.2,9.46,60.3
205.39,9.56,80.41
208.59,9.66,26.76
212.49,9.76,39.82
