Age (ka),  Alkanol Depth (amcd),Alkanol (ng/g)
6.91,0.25,11
15.55,0.79,57
17.47,0.91,129
19.71,1.05,106
21.95,1.19,163
25.47,1.41,203
26.75,1.49,146
29.95,1.69,292
34.43,1.97,260
40.19,2.33,103
45.63,2.67,34
47.87,2.81,59
49.47,2.91,30
55.22,3.27,99
59.31,3.51,106
64.09,3.79,131
65.8,3.89,87
70.62,4.13,74
74.46,4.31,26
81.41,4.61,42
96.08,5.16,31
108.34,5.62,39
109.67,5.67,44
111.27,5.73,67
119.01,6.02,26
123.54,6.19,36
126.21,6.29,41
135,6.62,139
139.86,6.83,82
144.13,7.03,165
150.74,7.34,124
155.22,7.55,79
159.48,7.75,138
163.54,7.94,161
170.57,8.27,75
181,8.7,59
188.2,8.97,118
193.81,9.17,107
199.21,9.36,33
202.2,9.46,28
212.49,9.76,37
224.99,10.07,118
233.17,10.3,60
242.4,10.58,46
249.76,10.83,65
253.46,10.96,69
258.86,11.18,197
262.51,11.39,63
265.41,11.56,76
271.21,11.9,110
275.99,12.18,257
279.4,12.38,100
287.93,12.88,12
291.35,13.08,68
295.34,13.3,61
299.6,13.5,67
301.74,13.6,78
306.78,13.8,167
314.78,14.1,29
324.42,14.46,23
328.77,14.62,35
331,14.7,66
335.46,14.86,207
339.2,15,269
341.43,15.1,195
344.08,15.22,345
347.8,15.4,143
350.77,15.56,115
354.86,15.78,247
361.92,16.16,11
370.1,16.6,21
379.8,17.11,10
390.25,17.61,35
412.21,18.66,3
416.6,18.87,5
422.24,19.14,23
427.89,19.41,33
429.56,19.49,130
435,19.75,161
442.11,20.09,111
447.54,20.35,81
450.89,20.51,22
455.49,20.73,81
459.26,20.91,39
464.69,21.17,33
465.74,21.22,31
467.62,21.31,31
469.5,21.4,57
475.46,21.7,28
478.73,21.88,77
482.08,22.08,11
492.78,22.72,3
506.43,23.68,16
509.78,23.98,15
512.46,24.22,15
521.38,25.02,6
527.18,25.54,12
532.53,26.02,11
534.54,26.2,50
535.32,26.27,97
536.99,26.42,44
540.27,26.65,29
543.15,26.82,35
550,27.16,68
556.07,27.45,17
556.48,27.47,27
560.46,27.66,80
565.89,27.92,37
573.63,28.29,5
580.95,28.64,32
589.76,29.1,38
594.96,29.38,16
600.73,29.69,21
605.37,29.94,9
610.77,30.2,7
616.97,30.46,21
630.8,30.87,81
634,30.98,110
634.56,31,101
635.95,31.05,78
640.98,31.27,85
644.32,31.42,86
647.67,31.57,73
650.57,31.7,106
654.41,31.88,142
