Age (ka),Red Norm,Green Norm,Blue Norm,Grey Norm
0,-0.888886624,-1.393378403,-1.529917759,-1.261629357
1,-0.524648974,-1.095312382,-1.330602634,-0.954727189
2,-0.312894011,-0.918423283,-1.228388344,-0.773884956
3,-0.375493174,-1.005193684,-1.279251201,-0.850824869
4,-0.379937361,-0.992836502,-1.268916788,-0.844385176
5,-0.402180154,-1.006533429,-1.280532505,-0.860090907
6,-0.385050136,-0.992674197,-1.295393586,-0.84856454
7,-0.320939876,-0.910702084,-1.247909595,-0.774298955
8,-0.504085709,-1.041021392,-1.344960775,-0.918140492
9,-0.941572404,-1.318180905,-1.521709277,-1.23262883
10,-0.71061374,-1.095242716,-1.328927649,-1.008937103
11,-0.569123744,-0.902877733,-1.12696805,-0.831966386
12,-0.478302149,-0.597963059,-0.812246072,-0.589077801
13,-0.738454259,-0.780410816,-0.905388004,-0.784093695
14,-1.039354544,-1.087011216,-1.238789029,-1.093503892
15,-1.03363604,-1.112478247,-1.259210641,-1.111270531
16,-1.028628099,-1.145776493,-1.270574041,-1.13112165
17,-0.430645861,-0.982047402,-0.792988937,-0.798360437
18,-0.982439199,-1.089472623,-1.245292095,-1.0804062
19,-1.077967359,-1.172347697,-1.299674458,-1.163675087
20,-1.142293761,-1.231365506,-1.332783941,-1.221345534
21,-1.106907137,-1.218998595,-1.341290164,-1.207829161
22,-1.042643088,-1.134876215,-1.243524288,-1.124575657
23,-1.022603253,-1.114837223,-1.24195168,-1.106884307
24,-0.882522038,-1.016218325,-1.067638041,-0.985974751
25,-1.112769562,-1.210811223,-1.246588623,-1.19079927
26,-0.946851985,-1.083609171,-1.195182125,-1.062192694
27,-0.961591214,-1.080131093,-1.150776322,-1.056976604
28,-0.952843769,-1.079479695,-1.119925786,-1.052031151
29,-0.934022267,-1.07305048,-1.073791252,-1.038728987
30,-0.775945267,-0.901464101,-0.926155644,-0.871548795
31,-0.709947467,-0.828020747,-0.882487175,-0.801930259
32,-0.744441504,-0.872479947,-0.940813535,-0.845664559
33,-0.739427664,-0.85901628,-0.915804132,-0.832854956
34,-0.675610037,-0.790312554,-0.845142269,-0.76365843
35,-0.593759367,-0.696096546,-0.774461766,-0.674933739
36,-0.58698789,-0.677186234,-0.76302269,-0.660033782
37,-0.548182674,-0.649152201,-0.753862375,-0.633376726
38,-0.53721458,-0.646305203,-0.745026348,-0.627570523
39,-0.363571821,-0.441566542,-0.565255571,-0.43410342
40,-0.333496398,-0.437488428,-0.554361912,-0.422807367
41,-0.300312848,-0.382962771,-0.518357942,-0.375572661
42,-0.308748811,-0.359200929,-0.470240128,-0.356216162
43,-0.175009868,-0.213250306,-0.377378773,-0.220102809
44,-0.197786824,-0.261464869,-0.421203432,-0.26225667
45,-0.267761545,-0.321990714,-0.462294535,-0.322047999
46,-0.230670683,-0.287625796,-0.450110468,-0.290390811
47,-0.309784688,-0.361819976,-0.514407453,-0.365077258
48,-0.087368536,-0.160020792,-0.203741824,-0.142559588
49,0,0,0,0
50,0,0,0,0
51,0.30487596,0.276015492,0.104844797,0.266926899
52,0.242545449,0.203670781,0.060320939,0.201939613
53,0.220215374,0.166323935,0.036002118,0.171153631
54,0.037477389,-0.019404686,-0.165129741,-0.017840983
55,-0.146963591,-0.208475006,-0.36150591,-0.208272922
56,-0.143266762,-0.229985543,-0.380772251,-0.22424488
57,-0.127742935,-0.216057563,-0.368880864,-0.210320288
58,-0.274353839,-0.359025692,-0.506533371,-0.353713592
59,-0.505452986,-0.608200944,-0.73533198,-0.596296932
60,-0.625261065,-0.73628162,-0.885076582,-0.723624164
61,-0.567150906,-0.662520833,-0.833979797,-0.656239819
62,-0.946022132,-1.034734229,-1.037908877,-1.01349615
63,-0.813704179,-0.941058414,-0.95506513,-0.909645444
64,-0.6784697,-0.821622677,-0.866823736,-0.78814879
65,-0.762242964,-0.888857181,-0.887564258,-0.854588424
66,-0.842174213,-0.955392479,-0.895442926,-0.918838477
67,-0.550525782,-0.691565964,-0.719336243,-0.657253122
68,-0.186967379,-0.309913942,-0.434920529,-0.291652742
69,0.025830289,-0.096023056,-0.276842617,-0.080458847
70,0.048986939,-0.070964872,-0.285153971,-0.057424767
71,0.090027352,-0.025647173,-0.28036649,-0.017996143
72,0.196814601,0.081568196,-0.194988546,0.08638913
73,0.266252685,0.142299409,-0.121473152,0.152357941
74,0.236433247,0.101906985,-0.2224882,0.107598575
75,0.743054525,0.651825911,0.386857299,0.653486937
76,0.827363398,0.718872515,0.460240674,0.727273044
77,0.952204956,0.849682018,0.611738448,0.858846442
78,0.871306,0.844464882,0.708355633,0.841253362
79,0.613999642,0.661314213,0.666990674,0.650431762
80,0.647429176,0.649455705,0.69740594,0.657866797
81,1.202720702,1.153088805,1.045274314,1.162059811
82,0.566466157,0.542238237,0.501581628,0.548507627
83,0.537172075,0.474789384,0.453362878,0.493960824
84,0.917983958,0.815538257,0.733289007,0.839560743
85,1.226425461,1.105032168,0.9693802,1.128667443
86,1.227243007,1.103722482,0.971101229,1.128352467
87,1.139570808,1.019305627,0.881611034,1.041506687
88,1.02661886,0.907493538,0.763562568,0.928559604
89,0.910510196,0.781865521,0.658141197,0.807392463
90,0.784480173,0.647273132,0.480914943,0.672624615
91,0.758530559,0.612721499,0.409547823,0.638322294
92,0.858530479,0.715343177,0.511751127,0.739731916
93,0.924906147,0.792082093,0.599187179,0.813198182
94,0.632415901,0.47682079,0.251914571,0.503111459
95,0.627845245,0.482854253,0.236262621,0.502926676
96,0,0,0,0
97,0,0,0,0
98,0,0,0,0
99,0,0,0,0
100,0,0,0,0
101,0,0,0,0
102,0,0,0,0
103,0,0,0,0
104,0,0,0,0
105,0,0,0,0
106,0,0,0,0
107,0,0,0,0
108,0,0,0,0
109,0,0,0,0
110,0,0,0,0
111,0,0,0,0
112,0,0,0,0
113,0,0,0,0
114,0,0,0,0
115,0,0,0,0
116,0,0,0,0
117,0,0,0,0
118,0,0,0,0
119,0,0,0,0
120,0,0,0,0
121,0,0,0,0
122,0,0,0,0
123,0.738328372,0.606105793,0.384057613,0.62503676
124,0.943319124,0.831464854,0.611795254,0.845045971
125,1.13392335,1.068642852,0.866358094,1.070433986
126,1.208025805,1.184080981,0.996912938,1.174970227
127,1.247456445,1.216351297,1.026587319,1.209316834
128,1.387986145,1.320549151,1.166812042,1.3293258
129,1.308825552,1.229782336,1.090074554,1.243534328
130,1.338757263,1.256588656,1.140771407,1.275330103
131,1.382559896,1.297462626,1.197231089,1.319664646
132,1.401558394,1.309335027,1.199660064,1.330610741
133,1.387051759,1.298221651,1.160834639,1.312641209
134,1.345241915,1.287881167,1.134394774,1.293093759
135,1.354067352,1.26073921,1.104019266,1.275460908
136,1.266643625,1.168434521,1.005874921,1.183110501
137,0.953839134,0.879110685,0.736591743,0.88858098
138,0.519018783,0.485005326,0.387702273,0.486579901
139,0.55586149,0.517383765,0.419171187,0.52051369
140,1.13552099,1.04099831,0.880653866,1.055750382
141,1.097164413,1.020113029,0.870802877,1.030759948
142,1.109080418,1.02230405,0.887837319,1.037989508
143,1.088986959,0.991084708,0.862054741,1.01095949
144,0.981921046,0.882452219,0.73828556,0.900657989
145,1.122628848,0.95599019,0.989114395,1.015503222
146,1.204820565,0.984061721,1.157691443,1.076552853
147,1.114091605,0.880836019,1.075421556,0.979411873
148,0.944557019,0.731477259,0.958566661,0.82356455
149,0.795877015,0.597359804,0.840199161,0.684314416
150,0.691918541,0.493841514,0.725919513,0.579926312
151,0.674293635,0.463161271,0.696032414,0.554737054
152,0.758657787,0.528588959,0.763776855,0.627562085
153,0.962098395,0.707078969,0.945335283,0.815200143
154,1.149959711,0.877488914,1.117855782,0.992830661
155,1.2025675,0.94127915,1.178178442,1.052822601
156,1.109882322,0.890361473,1.117814086,0.986297152
157,1.08471089,0.872677817,1.043154153,0.960290212
158,1.059768783,0.88702869,1.023926702,0.958613165
159,0.792383658,0.647298957,0.735709917,0.70330768
160,0.221551071,0.114463937,0.138259612,0.149653831
161,-0.289888469,-0.388480933,-0.402435636,-0.362933124
162,-0.485510344,-0.608531396,-0.619450273,-0.577405315
163,-0.587492172,-0.682074818,-0.691899425,-0.657257066
164,-0.583812385,-0.684342462,-0.651391999,-0.65335848
