Age (ka),1313 L* Depth (amcd),1313 L*,1313 L* Norm Detrend
0,0.00,57.00,-1.3683
0.726,0.05,55.03,-1.7177
1.452,0.10,58.65,-1.0772
2.177,0.15,55.49,-1.6374
2.903,0.20,54.59,-1.7973
3.629,0.25,55.40,-1.6544
4.355,0.30,55.46,-1.6444
5.081,0.35,55.59,-1.6219
5.806,0.40,56.27,-1.5021
6.532,0.45,57.41,-1.3007
7.258,0.50,54.67,-1.7865
7.984,0.55,58.71,-1.0716
8.71,0.60,51.56,-2.3384
9.435,0.65,55.27,-1.6820
10.161,0.70,56.38,-1.4859
10.887,0.75,57.80,-1.2350
11.613,0.80,60.02,-0.8424
12.339,0.85,58.92,-1.0378
13.065,0.90,54.40,-1.8389
13.79,0.95,53.60,-1.9811
14.516,1.00,54.52,-1.8187
15.242,1.05,53.16,-2.0602
15.968,1.10,55.01,-1.7331
16.694,1.15,54.56,-1.8133
17.419,1.20,54.28,-1.8635
18.191,1.25,51.53,-2.3511
19.148,1.30,51.26,-2.3997
20.104,1.35,52.23,-2.2286
21.061,1.40,52.27,-2.2223
22.017,1.45,51.50,-2.3594
22.974,1.50,52.01,-2.2698
23.93,1.55,55.13,-1.7180
24.887,1.60,55.17,-1.7117
25.843,1.65,54.32,-1.8629
26.8,1.70,54.10,-1.9026
27.757,1.75,54.52,-1.8290
28.713,1.80,55.30,-1.6916
29.67,1.85,57.35,-1.3293
30.626,1.90,57.26,-1.3460
31.583,1.95,57.43,-1.3166
32.539,2.00,57.73,-1.2642
33.496,2.05,58.19,-1.1835
34.452,2.10,58.78,-1.0797
35.409,2.15,58.14,-1.1938
36.365,2.20,58.83,-1.0724
37.322,2.25,58.32,-1.1634
38.278,2.30,57.77,-1.2616
39.235,2.35,61.34,-0.6301
40.191,2.40,61.31,-0.6361
41.148,2.45,61.96,-0.5218
42.104,2.50,61.99,-0.5172
43.061,2.55,61.56,-0.5941
44.017,2.60,62.09,-0.5010
44.974,2.65,61.62,-0.5849
45.93,2.70,61.25,-0.6512
46.887,2.75,61.19,-0.6626
47.843,2.80,63.29,-0.2914
48.8,2.85,63.72,-0.2160
49.757,2.90,61.67,-0.5798
50.713,2.95,65.23,0.0500
51.67,3.00,65.34,0.0687
52.626,3.05,66.40,0.2557
53.583,3.10,66.12,0.2053
54.539,3.15,63.82,-0.2027
55.496,3.20,63.34,-0.2885
56.452,3.25,63.65,-0.2343
57.409,3.30,62.89,-0.3697
58.365,3.35,60.89,-0.7246
59.322,3.40,57.71,-1.2885
60.278,3.45,58.00,-1.2379
61.235,3.50,58.17,-1.2085
62.235,3.55,57.30,-1.3634
63.41,3.60,56.44,-1.5166
64.584,3.65,58.39,-1.1722
65.759,3.70,57.14,-1.3945
66.934,3.75,59.10,-1.0483
68.108,3.80,63.48,-0.2735
69.283,3.85,65.39,0.0639
70.458,3.90,64.93,-0.0185
71.633,3.95,63.30,-0.3081
72.807,4.00,67.07,0.3587
73.982,4.05,68.64,0.6358
75.157,4.10,69.38,0.7660
76.331,4.15,69.21,0.7349
77.506,4.20,71.06,1.0617
78.681,4.25,72.29,1.2786
79.855,4.30,72.80,1.3680
81.03,4.35,73.42,1.4769
82.205,4.40,72.41,1.2971
83.38,4.45,71.92,1.2094
84.554,4.50,71.34,1.1058
85.729,4.55,69.43,0.7666
86.904,4.60,67.25,0.3796
88.078,4.65,68.60,0.6178
89.253,4.70,71.89,1.1996
90.428,4.75,76.19,1.9602
91.602,4.80,77.10,2.1204
92.777,4.85,77.14,2.1266
93.952,4.90,77.27,2.1487
95.126,4.95,75.22,1.7848
96.301,5.00,76.71,2.0477
97.476,5.05,76.10,1.9388
98.651,5.10,76.05,1.9290
99.825,5.15,76.54,2.0149
101,5.20,76.30,1.9715
102.175,5.25,75.16,1.7687
103.349,5.30,75.10,1.7571
104.524,5.35,74.89,1.7190
105.699,5.40,74.07,1.5729
106.873,5.45,73.20,1.4179
108.048,5.50,71.89,1.1850
109.223,5.55,69.23,0.7130
110.398,5.60,71.42,1.0999
111.572,5.65,71.11,1.0441
112.747,5.70,68.97,0.6642
113.922,5.75,66.95,0.3056
115.096,5.80,68.32,0.5473
116.271,5.85,69.51,0.7571
117.446,5.90,72.76,1.3318
118.62,5.95,75.17,1.7577
119.795,6.00,75.63,1.8382
120.97,6.05,76.03,1.9082
122.145,6.10,72.02,1.1971
123.319,6.15,75.18,1.7558
124.494,6.20,72.32,1.2484
125.669,6.25,74.09,1.5609
126.843,6.30,72.46,1.2714
128.018,6.35,69.81,0.8011
129.193,6.40,64.35,-0.1667
130.367,6.45,61.57,-0.6600
131.542,6.50,59.81,-0.9726
132.717,6.55,59.65,-1.0018
133.892,6.60,60.14,-0.9160
135.066,6.65,63.68,-0.2900
136.241,6.70,63.68,-0.2909
137.416,6.75,61.60,-0.6601
138.59,6.80,58.36,-1.2349
139.765,6.85,58.89,-1.1419
141.185,6.90,56.57,-1.5539
142.667,6.95,57.55,-1.3815
144.148,7.00,59.26,-1.0798
145.63,7.05,58.57,-1.2031
147.111,7.10,58.29,-1.2539
148.593,7.15,58.56,-1.2072
150.074,7.20,59.06,-1.1198
151.556,7.25,58.53,-1.2148
153.037,7.30,58.83,-1.1628
154.519,7.35,60.11,-0.9373
156,7.40,59.06,-1.1244
157.143,7.45,56.77,-1.5308
158.286,7.50,54.95,-1.8540
159.429,7.55,55.93,-1.6814
160.571,7.60,56.34,-1.6096
161.714,7.65,58.18,-1.2847
162.857,7.70,58.15,-1.2909
164,7.75,60.93,-0.7994
165.143,7.80,61.11,-0.7684
166.286,7.85,59.32,-1.0863
167.429,7.90,63.80,-0.2938
168.571,7.95,65.30,-0.0290
169.714,8.00,68.80,0.5899
170.857,8.05,69.92,0.7874
172,8.10,67.82,0.4146
173.143,8.15,65.21,-0.0485
174.286,8.20,63.43,-0.3646
175.429,8.25,61.97,-0.6241
176.571,8.30,60.00,-0.9739
177.714,8.35,59.02,-1.1483
178.857,8.40,58.74,-1.1988
180,8.45,59.98,-0.9801
181.143,8.50,59.52,-1.0624
182.286,8.55,60.32,-0.9216
183.429,8.60,60.59,-0.8747
184.571,8.65,59.14,-1.1324
185.714,8.70,56.77,-1.5530
186.857,8.75,57.37,-1.4476
188,8.80,56.83,-1.5441
189.525,8.85,56.72,-1.5648
191.051,8.90,57.15,-1.4898
192.576,8.95,58.11,-1.3210
194.102,9.00,59.96,-0.9945
195.627,9.05,63.90,-0.2979
197.153,9.10,64.63,-0.1698
198.678,9.15,63.73,-0.3304
200.203,9.20,66.42,0.1448
201.729,9.25,70.26,0.8237
203.254,9.30,69.17,0.6295
204.78,9.35,73.30,1.3597
206.305,9.40,72.88,1.2841
207.831,9.45,69.37,0.6613
209.356,9.50,70.42,0.8461
210.881,9.55,74.50,1.5675
212.407,9.60,74.94,1.6442
213.932,9.65,74.60,1.5828
215.458,9.70,73.68,1.4187
216.983,9.75,72.62,1.2298
218.508,9.80,68.84,0.5592
220.034,9.85,67.35,0.2941
221.559,9.90,63.36,-0.4137
223.085,9.95,58.17,-1.3340
224.667,10.00,56.96,-1.5495
226.333,10.05,60.59,-0.9080
228,10.10,63.72,-0.3549
229.667,10.15,64.90,-0.1472
231.333,10.20,68.03,0.4058
233,10.25,69.12,0.5975
234.667,10.30,69.28,0.6246
236.333,10.35,71.26,0.9740
238,10.40,70.54,0.8452
239.667,10.45,69.85,0.7217
241.333,10.50,66.96,0.2085
243,10.55,63.86,-0.3418
244.667,10.60,58.38,-1.3136
246.333,10.65,60.38,-0.9606
248,10.70,60.92,-0.8663
249.667,10.75,62.49,-0.5896
251.333,10.80,61.50,-0.7662
252.397,10.85,60.64,-0.9193
253.059,10.90,61.34,-0.7958
253.721,10.95,61.92,-0.6936
254.382,11.00,62.36,-0.6162
255.044,11.05,62.90,-0.5211
255.706,11.10,59.32,-1.1556
256.368,11.15,59.70,-1.0889
257.029,11.20,60.94,-0.8698
257.691,11.25,62.40,-0.6117
258.353,11.30,63.22,-0.4670
259.015,11.35,63.45,-0.4268
