Age (ka),  SST Depth (amcd),SST (°C)
0,0.17,18.17
6.91,0.25,19
8.51,0.35,18.6
11.39,0.53,16.37
13.63,0.67,15.37
16.19,0.83,13
17.47,0.91,12.28
19.71,1.05,11.21
21.95,1.19,13.6
25.47,1.41,12.3
26.75,1.49,12.3
28.35,1.59,11.81
31.55,1.79,12.91
32.19,1.83,12.84
33.79,1.93,14.02
36.67,2.11,13.62
38.27,2.21,15.04
38.91,2.25,15.6
41.79,2.43,15.67
43.71,2.55,15.4
45.63,2.67,15.87
46.27,2.71,14.81
46.59,2.73,15.53
47.23,2.77,15.8
48.51,2.85,16.13
49.47,2.91,14.99
51.06,3.01,16.45
52.34,3.09,16.34
53.94,3.19,16
55.22,3.27,16.14
56.58,3.35,15.23
57.26,3.39,15.56
58.29,3.45,13.35
59.31,3.51,12.83
60.34,3.57,13.34
61.02,3.61,11.99
62.04,3.67,11.89
64.09,3.79,12.72
65.8,3.89,14.51
67.63,3.99,15.65
69.77,4.09,16.21
70.62,4.13,14.75
72.75,4.23,15.6
74.46,4.31,16.96
75.31,4.35,16.36
76.59,4.41,16.22
78.3,4.49,16.46
79.81,4.55,17.59
81.41,4.61,15.64
83.81,4.7,16.83
87.01,4.82,17.81
89.94,4.93,15.65
93.14,5.05,17.63
96.08,5.16,19.89
99.28,5.28,18.01
102.48,5.4,15.96
105.14,5.5,17.11
106.21,5.54,14.89
107.81,5.6,16.04
108.88,5.64,16.52
110.21,5.69,16.34
111.81,5.75,16.51
112.87,5.79,15.87
114.21,5.84,15.73
115.27,5.88,16.28
117.41,5.96,17.57
120.07,6.06,17.48
123.54,6.19,18.77
126.21,6.29,18.82
128.87,6.39,18.2
130.47,6.45,15.37
132.34,6.52,14.77
135,6.62,14.3
137.51,6.72,15.87
139.86,6.83,15.64
141.99,6.93,15.98
142.42,6.95,16.2
144.13,7.03,15.84
146.26,7.13,15.13
148.6,7.24,14.71
150.74,7.34,14.75
152.87,7.44,15.91
155.22,7.55,13.39
157.35,7.65,13.27
159.48,7.75,14.5
161.83,7.86,14.32
163.54,7.94,15.17
165.24,8.02,15.58
166.95,8.1,15.96
168.87,8.19,15.69
170.57,8.27,15.64
172.28,8.35,15.5
174.2,8.44,14.71
177.26,8.56,14.42
179.93,8.66,14.15
182.6,8.76,14.67
185.26,8.86,14.32
187.13,8.93,15.11
189.26,9.01,14.58
190.97,9.07,16.7
193.81,9.17,16.58
196.37,9.26,15.73
199.21,9.36,16.23
202.2,9.46,17.56
205.39,9.56,15.9
208.59,9.66,16.41
212.49,9.76,18.94
217.19,9.87,17.88
221.43,9.97,14.96
224.99,10.07,14.66
228.54,10.17,15.21
232.46,10.28,16.35
233.17,10.3,17.13
236,10.38,17.12
239.2,10.48,17.35
241.12,10.54,16.89
242.4,10.58,14.81
244.32,10.64,12.96
245.49,10.68,13.46
249.76,10.83,14.35
250.9,10.87,15.11
253.46,10.96,15.9
256.3,11.06,14.22
258.86,11.18,15.38
262.51,11.39,15.21
265.41,11.56,15.23
268.82,11.76,14.42
270.53,11.86,12.93
273.94,12.06,12.55
275.99,12.18,12.99
279.4,12.38,15.05
281.11,12.48,16.26
284.52,12.68,16.59
286.23,12.78,17.01
287.93,12.88,17.34
289.64,12.98,17.02
291.35,13.08,14.45
293.05,13.18,11.65
294.91,13.28,13.72
295.34,13.3,13.93
297.47,13.4,13.38
299.6,13.5,15.4
301.74,13.6,15.22
304.12,13.7,15.85
306.78,13.8,15.36
309.45,13.9,15.9
312.11,14,15.97
314.78,14.1,15.92
317.45,14.2,15.47
317.98,14.22,16.16
318.52,14.24,16.2
319.05,14.26,14.48
319.59,14.28,13.94
320.13,14.3,14.1
320.66,14.32,15.25
321.2,14.34,15.83
321.74,14.36,17.17
322.27,14.38,16.37
322.81,14.4,16.95
323.34,14.42,16.77
323.88,14.44,17.23
324.42,14.46,17.31
324.95,14.48,16.57
325.49,14.5,16.1
326.02,14.52,17.31
326.56,14.54,18
327.1,14.56,16.55
327.65,14.58,17.26
328.21,14.6,17.19
328.77,14.62,17.29
329.33,14.64,17.59
329.89,14.66,16.95
330.44,14.68,17.4
331,14.7,17.13
331.56,14.72,16.73
332.12,14.74,16.49
332.67,14.76,14.93
333.23,14.78,14.48
333.79,14.8,13.27
334.35,14.82,13.35
334.9,14.84,12.01
335.46,14.86,11.99
336.02,14.88,11.67
336.58,14.9,9.93
337.13,14.92,9.45
337.69,14.94,8.88
338.25,14.96,9.94
338.76,14.98,10.66
339.2,15,10.48
339.65,15.02,11.94
340.09,15.04,12.59
340.54,15.06,12.54
340.99,15.08,12.75
341.43,15.1,12.83
341.88,15.12,13.33
342.33,15.14,12.58
342.77,15.16,13.89
343.22,15.18,13.74
343.66,15.2,14.23
344.08,15.22,14.51
344.5,15.24,14.3
344.92,15.26,14.48
345.33,15.28,13.48
345.75,15.3,13.94
346.17,15.32,12.35
346.59,15.34,12.93
347.01,15.36,12.78
347.43,15.38,12.69
347.8,15.4,14.92
348.17,15.42,15.26
348.54,15.44,15.03
348.91,15.46,15.77
349.28,15.48,13.79
349.66,15.5,14.57
350.03,15.52,13.79
350.4,15.54,13.72
350.77,15.56,14.2
351.14,15.58,14.04
351.51,15.6,14.64
351.89,15.62,14.57
352.26,15.64,15.29
352.63,15.66,12.85
353,15.68,14.6
353.37,15.7,14.05
353.75,15.72,15.48
354.12,15.74,14.63
354.49,15.76,12.34
354.86,15.78,11.04
355.23,15.8,11.95
355.6,15.82,8.62
355.98,15.84,10.15
356.35,15.86,9.01
356.72,15.88,11.14
357.09,15.9,8.66
357.46,15.92,7.98
357.83,15.94,9.7
358.21,15.96,9.6
358.58,15.98,9.44
358.95,16,10.55
359.32,16.02,11.47
359.69,16.04,13.54
360.07,16.06,11.61
360.44,16.08,12.27
360.81,16.1,12.41
361.18,16.12,12.28
361.55,16.14,12.57
361.92,16.16,11.59
362.3,16.18,12.25
362.67,16.2,12.94
363.04,16.22,13.17
363.41,16.24,13.2
363.78,16.26,12.72
364.15,16.28,12.44
364.34,16.29,12.79
364.53,16.3,13.31
364.71,16.31,13.36
364.9,16.32,13.56
365.08,16.33,12.99
365.27,16.34,12.65
365.46,16.35,13.01
365.64,16.36,12.39
365.83,16.37,12.76
366.01,16.38,12.34
366.2,16.39,12.92
366.39,16.4,12.97
366.57,16.41,13.46
366.76,16.42,13.59
367.13,16.44,13.27
367.13,16.44,13.05
367.5,16.46,13.46
367.5,16.46,12.21
367.87,16.48,14.32
367.87,16.48,13.35
368.24,16.5,14.41
368.24,16.5,12.56
368.62,16.52,13.75
368.62,16.52,14.64
368.99,16.54,14.68
368.99,16.54,14.21
369.36,16.56,14.77
369.73,16.58,14.49
370.1,16.6,14.87
370.47,16.62,15.57
370.85,16.64,15.8
371.22,16.66,14.71
371.59,16.68,16.18
371.96,16.7,15.39
372.33,16.72,16.2
372.7,16.74,14.9
373.08,16.76,16.26
373.63,16.79,16.03
374.01,16.81,16
374.38,16.83,15.44
374.75,16.85,15.72
375.12,16.87,13.82
375.49,16.89,14.16
376.24,16.93,14.7
376.61,16.95,14.17
376.98,16.97,15.01
377.35,16.99,15.63
377.72,17.01,15.81
378.12,17.03,15.93
378.54,17.05,16.06
378.96,17.07,14.75
379.38,17.09,15.83
379.8,17.11,14.57
380.42,17.14,16.01
380.84,17.16,16.58
381.26,17.18,16.67
381.68,17.2,16.12
382.1,17.22,16.25
382.51,17.24,17.17
382.93,17.26,17.52
383.77,17.3,17.39
384.19,17.32,16.58
384.61,17.34,15.86
385.02,17.36,14.32
385.44,17.38,15.84
385.86,17.4,15.91
386.28,17.42,15.82
386.7,17.44,16.72
387.11,17.46,16.83
387.74,17.49,16.64
388.16,17.51,17.4
388.58,17.53,17.3
389,17.55,16.67
389.41,17.57,15.26
389.83,17.59,14.12
390.25,17.61,13.08
390.67,17.63,12.49
391.09,17.65,12.53
391.51,17.67,13.08
391.92,17.69,16.03
392.34,17.71,16.21
392.76,17.73,15.2
393.18,17.75,16.48
393.6,17.77,16.32
394.01,17.79,16.28
394.43,17.81,15.82
394.85,17.83,16.93
395.48,17.86,16.11
395.9,17.88,16.18
396.32,17.9,17.36
396.73,17.92,17.35
397.15,17.94,17.16
397.57,17.96,17.45
397.99,17.98,18.04
398.41,18,18.6
398.82,18.02,17.05
399.24,18.04,18.25
399.66,18.06,18.2
400.08,18.08,17.59
400.5,18.1,18.81
400.92,18.12,18.54
401.33,18.14,17.87
401.75,18.16,18.21
402.17,18.18,18.16
402.59,18.2,20.09
403.22,18.23,19.21
403.63,18.25,18.33
404.05,18.27,18.37
404.47,18.29,19.07
404.89,18.31,18.69
405.31,18.33,18.53
405.73,18.35,19.65
406.14,18.37,18.91
406.56,18.39,18.32
407.4,18.43,18.01
407.82,18.45,20
408.23,18.47,17.98
408.65,18.49,18.33
409.07,18.51,18.35
409.49,18.53,18.46
409.91,18.55,17.61
410.32,18.57,18.07
410.95,18.6,16.54
411.79,18.64,16.32
412.21,18.66,16.48
412.62,18.68,16.36
413.04,18.7,15.98
413.46,18.72,17.72
413.88,18.74,18.56
414.3,18.76,19.1
414.72,18.78,18.8
415.13,18.8,19.14
415.34,18.81,18.22
415.76,18.83,18.38
416.18,18.85,18.93
416.6,18.87,19.04
417.02,18.89,16.99
417.43,18.91,18.47
417.85,18.93,18.26
418.27,18.95,17.91
418.69,18.97,18.08
419.11,18.99,17.1
419.32,19,18.07
419.74,19.02,17.98
420.15,19.04,16.54
420.57,19.06,18
420.99,19.08,16.86
421.41,19.1,17.7
421.83,19.12,17.19
422.24,19.14,18.08
422.66,19.16,17.7
423.08,19.18,17.37
423.29,19.19,16.68
423.71,19.21,16.81
424.13,19.23,14.18
424.54,19.25,14.09
424.96,19.27,15.29
425.38,19.29,13.02
425.8,19.31,9.65
426.22,19.33,10.3
426.63,19.35,11.06
427.05,19.37,9.23
427.47,19.39,9.89
427.89,19.41,8.03
428.31,19.43,8.57
428.73,19.45,10.88
429.14,19.47,7.65
429.56,19.49,11.51
429.98,19.51,11.96
