Age,d180,d180N,L*,SST,Alkane,Alkanol,Sediment,Red,Green,Blue,Grey
0,3.228,1.161664429,-2.175117871,0.5452834,-0.109359758,-2.7482502689999997,2.7295488939999997,-0.8888866240000001,-1.393378403,-1.5299177590000002,-1.2616293570000001
1,3.228,1.161664429,-2.2522290469999997,0.152172005,-0.132815235,0.741462857,2.7295488939999997,-0.524648974,-1.0953123820000001,-1.3306026340000001,-0.9547271890000001
2,3.179,1.2598920820000001,-2.269438685,-0.528866104,0.155576426,3.962483712,2.7295488939999997,-0.312894011,-0.918423283,-1.228388344,-0.773884956
3,3.286,1.045394962,-2.4690899369999997,-1.5722803909999998,0.638307086,6.194621815,2.7295488939999997,-0.375493174,-1.005193684,-1.279251201,-0.8508248690000001
4,3.295,1.027353148,-2.375546414,-2.041553494,1.27891441,6.465402882999999,2.7295488939999997,-0.37993736100000003,-0.9928365020000001,-1.268916788,-0.844385176
5,3.264,1.0894971740000001,-2.357048809,-2.345438728,2.172726791,5.651368137,2.7295488939999997,-0.402180154,-1.006533429,-1.280532505,-0.860090907
6,3.333,0.9511766009999999,-2.229444361,-2.494080203,2.9730425119999997,5.393773921,2.7295488939999997,-0.385050136,-0.992674197,-1.2953935859999999,-0.84856454
7,3.367,0.883018638,-2.3483356719999997,-2.306027208,3.648344125,4.78083982,2.7295488939999997,-0.320939876,-0.9107020840000001,-1.247909595,-0.774298955
8,3.42,0.7767724009999999,-1.976849581,-2.130117884,4.1765978519999996,3.955021499,2.7295488939999997,-0.5040857089999999,-1.041021392,-1.344960775,-0.918140492
9,3.385,0.84693501,-2.680359502,-2.0617861509999997,4.928874554,3.5647805860000004,2.7295488939999997,-0.9415724040000001,-1.318180905,-1.5217092769999998,-1.23262883
10,3.523,0.570293865,-2.285739354,-1.970005314,5.334847479,3.454410562,2.7295488939999997,-0.71061374,-1.095242716,-1.3289276490000002,-1.008937103
11,3.597,0.421950063,-2.028815273,-1.887667688,5.710773535,3.664990912,2.7295488939999997,-0.569123744,-0.902877733,-1.12696805,-0.831966386
12,3.924,-0.233569172,-1.8643053319999998,-1.9594632719999998,5.48967943,3.804790703,2.7295488939999997,-0.478302149,-0.597963059,-0.812246072,-0.5890778010000001
13,4.055,-0.496177795,-2.455493362,-2.02032984,5.397252087999999,3.7223883910000004,2.7295488939999997,-0.7384542590000001,-0.780410816,-0.9053880040000001,-0.784093695
14,4.281000000000001,-0.9492277859999999,-2.575362768,-1.9055965240000001,4.967202863,3.435404819,2.7295488939999997,-1.039354544,-1.0870112159999998,-1.238789029,-1.093503892
15,4.502,-1.3922545469999998,-2.6076469380000002,-1.790852434,4.48443226,3.364045675,2.7295488939999997,-1.03363604,-1.112478247,-1.259210641,-1.111270531
16,4.747,-1.8833928119999999,-2.431804465,-1.710832944,4.31524525,3.36894168,2.7295488939999997,-1.028628099,-1.145776493,-1.270574041,-1.13112165
17,4.881,-2.1520153730000002,-2.501836447,-1.5898436390000001,4.114788089,3.508916382,2.70155226,-0.430645861,-0.9820474020000001,-0.7929889370000001,-0.798360437
18,5.024,-2.438679748,-2.786826066,-1.483829796,3.9823506930000003,3.325136726,2.629747397,-0.9824391990000001,-1.089472623,-1.245292095,-1.0804062
19,4.956,-2.302363821,-2.90287074,-1.4431796669999999,3.9532932589999996,3.16762003,2.584418751,-1.077967359,-1.172347697,-1.299674458,-1.163675087
20,4.992,-2.374531077,-2.797796637,-1.421661204,3.941123077,3.5058949889999997,2.54496678,-1.142293761,-1.231365506,-1.332783941,-1.2213455340000001
21,4.9,-2.190103647,-2.779536752,-1.3832390959999998,3.857518232,3.8219986489999997,2.513747141,-1.106907137,-1.218998595,-1.3412901640000001,-1.207829161
22,4.894,-2.178075771,-2.87580315,-1.295521337,3.776224682,3.8958131139999996,2.4883378130000002,-1.042643088,-1.134876215,-1.243524288,-1.124575657
23,4.859,-2.107913162,-2.8015800019999997,-1.2803459529999999,3.7110261280000003,3.649702423,2.412697985,-1.022603253,-1.1148372229999999,-1.24195168,-1.106884307
24,4.811,-2.011690155,-2.413571766,-1.262098972,3.501785997,3.457827495,2.307914256,-0.882522038,-1.016218325,-1.067638041,-0.985974751
25,4.794,-1.977611173,-2.42166847,-1.2560497990000001,3.329243818,3.331152941,2.211014409,-1.112769562,-1.2108112229999999,-1.246588623,-1.19079927
26,4.692,-1.773137283,-2.522004304,-1.230845668,3.086424348,3.3676735210000004,2.082674125,-0.946851985,-1.083609171,-1.195182125,-1.0621926940000002
27,4.749,-1.887402104,-2.534282052,-1.246425458,2.938075248,3.3242333410000002,1.99403643,-0.961591214,-1.0801310929999999,-1.150776322,-1.0569766040000002
28,4.753,-1.8954206880000002,-2.466530465,-1.267140852,2.740068354,3.110847185,1.867278875,-0.952843769,-1.079479695,-1.119925786,-1.052031151
29,4.731,-1.8513184759999999,-2.313716303,-1.288036997,2.5616165459999998,2.995156875,1.7301368940000001,-0.934022267,-1.07305048,-1.0737912520000001,-1.038728987
30,4.602,-1.592719145,-2.134385248,-1.269641283,2.314571813,2.931844218,1.5926672569999998,-0.775945267,-0.901464101,-0.9261556440000001,-0.871548795
31,4.641,-1.670900338,-2.133426908,-1.258330487,2.079264189,2.835576442,1.4341149430000002,-0.709947467,-0.8280207470000001,-0.882487175,-0.801930259
32,4.599,-1.5867052069999998,-2.10348777,-1.266023881,1.891568816,2.640609624,1.2717122859999999,-0.7444415040000001,-0.872479947,-0.940813535,-0.845664559
33,4.579,-1.5466122880000002,-2.053585509,-1.2770081640000002,1.722524855,2.469602255,1.152137198,-0.739427664,-0.85901628,-0.915804132,-0.8328549559999999
34,4.586,-1.560644809,-1.983411364,-1.2859010659999999,1.648381518,2.393608874,1.029276681,-0.675610037,-0.7903125540000001,-0.8451422690000001,-0.76365843
35,4.539,-1.466426449,-1.9945895930000002,-1.274480208,1.543458869,2.325570486,0.880260932,-0.593759367,-0.6960965459999999,-0.7744617659999999,-0.6749337390000001
36,4.454,-1.29603154,-1.97504441,-1.2545691190000001,1.5044090909999999,2.24805356,0.756883867,-0.58698789,-0.6771862340000001,-0.76302269,-0.6600337820000001
37,4.456,-1.300040832,-1.9846179259999999,-1.227973945,1.473557095,2.180199278,0.63551859,-0.548182674,-0.649152201,-0.753862375,-0.6333767260000001
38,4.414,-1.215845701,-2.05635068,-1.215676242,1.38323678,2.0828687219999997,0.470494705,-0.53721458,-0.6463052029999999,-0.745026348,-0.6275705229999999
39,4.555,-1.498500784,-1.73279463,-1.198320324,1.340813223,1.975306732,0.35962457,-0.363571821,-0.441566542,-0.565255571,-0.43410342
40,4.548,-1.4844682619999998,-1.623899543,-1.218133087,1.2629831409999999,1.9726066340000001,0.256969065,-0.333496398,-0.437488428,-0.5543619120000001,-0.42280736700000005
41,4.513999999999999,-1.416310299,-1.5544883580000002,-1.232070597,1.18613594,1.9958183109999998,0.178099543,-0.300312848,-0.38296277100000004,-0.5183579420000001,-0.37557266100000003
42,4.504,-1.396263839,-1.5382354569999999,-1.241297104,1.11753986,2.016980249,0.10224006,-0.308748811,-0.359200929,-0.470240128,-0.356216162
43,4.463,-1.314073354,-1.5892357209999999,-1.25219664,1.157384212,2.072364275,0.037186031,-0.175009868,-0.21325030600000003,-0.37737877299999995,-0.22010280899999998
44,4.478,-1.344143044,-1.526250794,-1.279010955,1.173495206,2.1155591990000002,-0.033977814,-0.19778682399999997,-0.261464869,-0.42120343200000004,-0.26225667
45,4.329,-1.0454507929999999,-1.5863584659999999,-1.290843043,1.260134459,2.086227516,-0.036673129,-0.267761545,-0.321990714,-0.462294535,-0.322047999
46,4.363,-1.1136087559999999,-1.632888455,-1.273327787,1.278554307,2.08541152,-0.0695653,-0.23067068300000002,-0.287625796,-0.450110468,-0.290390811
47,4.381,-1.149692384,-1.6082891559999999,-1.27307346,1.273089255,2.106573823,-0.133650964,-0.30978468800000003,-0.361819976,-0.514407453,-0.36507725799999996
48,4.445,-1.277989727,-1.362779322,-1.305029121,1.339832328,2.304653741,-0.21994271699999998,-0.087368536,-0.160020792,-0.203741824,-0.14255958800000001
49,4.462,-1.312068708,-1.371587272,-1.314258373,1.372595657,2.27349377,-0.275056537,0.0,0.0,0.0,0.0
50,4.343,-1.073515837,-1.463118568,-1.315689329,1.3772989269999998,2.27555514,-0.306750752,0.0,0.0,0.0,0.0
51,4.334,-1.055474023,-1.119808016,-1.313740724,1.367237064,2.296692956,-0.324848585,0.30487596,0.276015492,0.10484479699999999,0.266926899
52,4.309,-1.005357874,-1.063241506,-1.313557399,1.4028963190000001,2.3353800319999998,-0.328779288,0.242545449,0.20367078100000002,0.060320939000000004,0.20193961300000002
53,4.436,-1.259947913,-0.98856956,-1.312050152,1.4606883830000001,2.318867022,-0.341356194,0.220215374,0.166323935,0.036002118,0.17115363100000003
54,4.376,-1.1396691540000001,-1.138483972,-1.317727544,1.5109332830000002,2.301972019,-0.366723509,0.037477389,-0.019404686,-0.165129741,-0.017840983
55,4.3069999999999995,-1.001348582,-1.333630345,-1.3259470070000001,1.556493145,2.325232326,-0.42192472,-0.146963591,-0.20847500600000002,-0.36150591,-0.208272922
56,4.354,-1.095566943,-1.344530393,-1.318685147,1.604126384,2.307820612,-0.46937792100000003,-0.143266762,-0.22998554300000001,-0.380772251,-0.22424488
57,4.427,-1.2419060990000002,-1.3813921219999998,-1.306153145,1.652228651,2.24599403,-0.530744223,-0.127742935,-0.216057563,-0.368880864,-0.210320288
58,4.489,-1.36619415,-1.580782278,-1.295699428,1.713670134,2.254100319,-0.570727178,-0.274353839,-0.359025692,-0.5065333710000001,-0.353713592
59,4.427,-1.2419060990000002,-1.947788684,-1.2796773590000001,1.783307266,2.36696374,-0.62979731,-0.505452986,-0.608200944,-0.73533198,-0.596296932
60,4.599,-1.5867052069999998,-2.058172894,-1.259572352,1.819828843,2.412969956,-0.7092799,-0.625261065,-0.73628162,-0.8850765820000001,-0.7236241640000001
61,4.513,-1.4143056530000002,-2.031022477,-1.238641283,1.874685795,2.387699705,-0.781131877,-0.5671509060000001,-0.662520833,-0.833979797,-0.656239819
62,4.604,-1.596728437,-2.1106919,-1.213825469,1.8943139969999998,2.40007533,-0.8537362140000001,-0.9460221320000001,-1.0347342290000001,-1.037908877,-1.01349615
63,4.531000000000001,-1.4503892809999999,-2.208312973,-1.202229958,1.841461183,2.4562642880000003,-0.9330248320000001,-0.813704179,-0.941058414,-0.95506513,-0.909645444
64,4.357,-1.10158088,-2.121479631,-1.199291214,1.765571019,2.506508916,-1.003083065,-0.6784697,-0.821622677,-0.866823736,-0.78814879
65,4.481,-1.350156982,-2.054114441,-1.202252818,1.6795360169999998,2.512097659,-1.077547915,-0.762242964,-0.8888571809999999,-0.8875642579999999,-0.854588424
66,4.567,-1.522556536,-2.105895105,-1.213338745,1.596815684,2.485673972,-1.158692838,-0.842174213,-0.955392479,-0.895442926,-0.918838477
67,4.439,-1.265961851,-1.875467809,-1.237897851,1.5573335190000002,2.5078125819999997,-1.2074647490000001,-0.550525782,-0.691565964,-0.719336243,-0.6572531220000001
68,4.419,-1.225868931,-1.39898322,-1.273814172,1.5762221930000002,2.4935223069999997,-1.252237244,-0.186967379,-0.309913942,-0.434920529,-0.29165274199999996
69,4.468,-1.324096584,-1.162338996,-1.315730228,1.54626028,2.460320269,-1.324576039,0.025830289,-0.096023056,-0.276842617,-0.080458847
70,4.319,-1.025404333,-1.139436114,-1.345777302,1.5104727059999998,2.439531489,-1.3670225580000002,0.04898693900000001,-0.070964872,-0.285153971,-0.057424767
71,4.225,-0.836967611,-1.258362405,-1.3690233840000001,1.481822211,2.42475288,-1.411767327,0.09002735199999999,-0.025647173,-0.28036649,-0.017996143
72,4.215,-0.816921152,-1.219995809,-1.387624711,1.4678658759999998,2.406564683,-1.455364289,0.196814601,0.081568196,-0.194988546,0.08638913
73,4.229,-0.844986195,-0.8560897209999999,-1.401677601,1.4675778240000001,2.380150048,-1.4753032819999998,0.266252685,0.14229940900000002,-0.12147315199999999,0.152357941
74,4.0280000000000005,-0.442052354,-0.68706426,-1.418844293,1.461706046,2.345291703,-1.498270067,0.23643324699999999,0.101906985,-0.2224882,0.107598575
75,3.9530000000000003,-0.291703905,-0.606630809,-1.424254525,1.4534977619999998,2.316064622,-1.506764732,0.743054525,0.651825911,0.386857299,0.653486937
76,4.064,-0.514219609,-0.609592942,-1.43574302,1.432639252,2.292463825,-1.468979014,0.8273633979999999,0.718872515,0.46024067399999996,0.727273044
77,4.077,-0.540280007,-0.481189409,-1.4467523830000002,1.418981574,2.29221813,-1.4293835590000001,0.952204956,0.849682018,0.611738448,0.858846442
78,4.055,-0.496177795,-0.313396536,-1.461721806,1.429688715,2.2856211280000003,-1.378635244,0.8713059999999999,0.844464882,0.7083556329999999,0.841253362
79,4.051,-0.48815921100000004,-0.20465284,-1.47579259,1.4633735719999998,2.264015094,-1.322963465,0.613999642,0.6613142129999999,0.666990674,0.6504317620000001
80,3.9010000000000002,-0.187462314,-0.147444938,-1.477821429,1.5015990719999999,2.252796497,-1.288613247,0.647429176,0.649455705,0.69740594,0.6578667970000001
81,3.824,-0.033104574,-0.08005475,-1.48149438,1.53054307,2.267561716,-1.254720592,1.202720702,1.153088805,1.045274314,1.162059811
82,3.802,0.010997637,-0.18452041,-1.493366863,1.567144844,2.267449068,-1.208717282,0.566466157,0.5422382370000001,0.501581628,0.548507627
83,3.8280000000000003,-0.041123158,-0.249367162,-1.5010158009999999,1.5730392990000002,2.272172162,-1.1888907229999999,0.537172075,0.474789384,0.45336287799999997,0.49396082399999997
84,3.823,-0.031099928,-0.30872556,-1.5077293969999999,1.561782552,2.276097987,-1.1562840559999998,0.917983958,0.815538257,0.733289007,0.8395607429999999
85,3.9530000000000003,-0.291703905,-0.43627276200000004,-1.5135281740000002,1.5506983890000001,2.2628326530000002,-1.116068737,1.226425461,1.105032168,0.9693801999999999,1.1286674429999999
86,4.059,-0.504196379,-0.651831148,-1.5211657459999999,1.5499821759999999,2.241645305,-1.074759203,1.227243007,1.103722482,0.9711012290000001,1.128352467
87,4.18,-0.746758542,-0.851937573,-1.5358676759999998,1.555178095,2.2491574169999997,-1.018616899,1.139570808,1.019305627,0.8816110340000001,1.041506687
88,4.107,-0.600419386,-0.705075885,-1.537502471,1.535725606,2.228384918,-0.989612128,1.02661886,0.907493538,0.763562568,0.928559604
89,4.077,-0.540280007,-0.36391091700000006,-1.5532389930000001,1.507405996,2.217750137,-0.976987972,0.9105101959999999,0.781865521,0.6581411970000001,0.807392463
90,4.061,-0.508205671,0.075698105,-1.587185593,1.482057695,2.1804115840000002,-0.9659844209999999,0.784480173,0.647273132,0.480914943,0.672624615
91,4.008,-0.401959434,0.332363785,-1.6177696209999999,1.453409769,2.146232608,-0.96650905,0.7585305590000001,0.612721499,0.409547823,0.638322294
92,4.005,-0.395945496,0.393689577,-1.647458476,1.4302451880000002,2.128833835,-0.9737523379999999,0.858530479,0.715343177,0.511751127,0.739731916
93,3.904,-0.193476252,0.40021881600000003,-1.685828466,1.415669769,2.115735861,-0.9801957609999999,0.9249061470000001,0.792082093,0.599187179,0.813198182
94,3.806,0.002979054,0.402966182,-1.722226469,1.3843227580000002,2.07990632,-0.99336889,0.632415901,0.47682079,0.25191457100000003,0.503111459
95,3.802,0.010997637,0.17995398899999998,-1.7397981340000002,1.356584721,2.072793609,-1.002144766,0.627845245,0.48285425299999996,0.236262621,0.502926676
96,3.752,0.111229936,0.293402108,-1.743906969,1.364606014,2.071897407,-0.999621395,0.0,0.0,0.0,0.0
97,3.832,-0.049141742,0.295804242,-1.7445595280000001,1.36857215,2.071897407,-0.998371545,0.0,0.0,0.0,0.0
98,3.9,-0.18545766800000002,0.261396116,-1.7481579230000002,1.376308039,2.071897407,-0.9961665209999999,0.0,0.0,0.0,0.0
